id_area,blanco,nulos,valid,COMPR,CS,EUPV,GANEM,OTROS,PP,PSOE,Abste,espanyols,vlc_prov,resta_prov,ue,eu_est,asia,africans,am_nord,latin_am,ocean,analfab,sensest,grau1,grau2,grau3,ind_comerc,joves_h,joves_d,aduljovh,aduljovd,adulvellh,adulvelld,vellh,velld,solters,casats,separats,divorciats,vidus,hab_ppals,hab_secund,hab_buides
4624401001,1.10935023772,1.26782884311,97.6228209192,9.5087163233,5.07131537242,4.91283676704,5.22979397781,5.22979397781,44.3740095087,23.2963549921,34.4074844075,86.3392171911,65.4643131236,17.8818112049,0.46047582502,5.90943975441,0.46047582502,5.14198004605,0,1.61166538757,0,0.99769762088,31.5425940138,28.0122793553,13.2770529547,9.20951650038,83,7.59785111282,8.21181887951,14.4282425173,12.3561013047,18.3422870299,16.2701458173,8.8257866462,13.9677666922,40.4,43.6,4.8,0.8,10.4,66.1654135338,6.76691729323,27.0676691729
4624402001,1.13728675873,0.89358245329,97.969130788,14.6222583266,8.77335499594,5.60519902518,4.22420796101,6.01137286759,32.4939073924,26.2388302193,28.8439306358,95.5199342376,82.4496506371,10.5630908344,0.53431976983,1.80846691328,0,0.94533497739,0,1.19194410193,0,0.53431976983,19.3177147554,27.2092067406,16.0295930949,13.6046033703,25,11.2207151665,10.8096999589,16.5639128648,17.7969584875,17.5914508837,16.358405261,4.19235511714,5.46650226058,45.3089244851,49.1990846682,2.05949656751,0.68649885584,2.74599542334,86.1538461538,2.05128205128,11.2820512821
4624403018,0.87939698492,0.75376884422,98.3668341709,19.0954773869,9.67336683417,5.77889447236,5.15075376884,5.40201005025,26.5075376884,26.7587939698,26.2962962963,95.6316410862,75.6198347107,17.414403778,0.53128689492,1.41676505313,1.00354191263,0.05903187721,0.11806375443,1.23966942149,0,0.11806375443,15.0531286895,29.9291617473,16.8831168831,9.85832349469,83,13.9905548996,12.160566706,12.987012987,12.8689492326,20.3659976387,20.3069657615,3.24675324675,4.07319952774,42.4855491329,51.1560693642,0,4.04624277457,2.02312138728,94.3089430894,2.43902439024,4.06504065041
4624401008,0.27816411683,0.69541029207,99.0264255911,6.95410292072,3.19888734353,2.50347705146,3.61613351878,11.40472879,29.4853963839,41.8636995828,48.5693848355,83.303330333,65.3915391539,15.9765976598,0.3600360036,6.70567056706,0.49504950495,8.01080108011,0,1.12511251125,0,4.5904590459,43.4293429343,18.5418541854,4.72547254725,2.02520252025,26,11.7911791179,12.2862286229,17.9117911791,15.6165616562,16.7866786679,13.9063906391,5.04050405041,6.66066606661,51.4124293785,36.1581920904,3.10734463277,1.69491525424,7.62711864407,61.2359550562,3.37078651685,34.8314606742
4624403024,1.56555772994,0.58708414873,97.8473581213,21.5264187867,7.04500978474,7.24070450098,3.32681017613,3.91389432485,27.2015655577,27.5929549902,24.4082840237,97.8354978355,72.619047619,23.4848484848,0.21645021645,0.97402597403,0.10822510823,0,0.10822510823,0.75757575758,0,0.97402597403,21.5367965368,29.7619047619,15.0432900433,12.1212121212,10,10.6060606061,8.11688311688,13.4199134199,15.5844155844,19.1558441558,18.7229437229,6.60173160173,7.79220779221,46.3414634146,51.2195121951,0.9756097561,0,1.46341463415,80.2469135802,13.5802469136,6.17283950617
4624404007,1.46443514644,0.20920502092,98.3263598326,19.0376569038,9.41422594142,6.27615062762,2.71966527197,4.60251046025,35.3556485356,20.9205020921,27.7945619335,93.9140811456,75.1789976134,14.6778042959,3.5799522673,0.47732696897,1.31264916468,0.11933174224,0,0.59665871122,0,0.11933174224,12.76849642,23.031026253,26.0143198091,20.8830548926,6,8.94988066826,6.80190930788,12.5298329356,11.3365155131,18.61575179,21.4797136038,10.2625298329,10.0238663484,40.5555555556,55,0,1.11111111111,2.77777777778,64.4444444444,21.1111111111,14.4444444444
4624403027,1.56494522692,0.78247261346,97.6525821596,24.1001564945,14.2410015649,6.72926447574,4.38184663537,5.47730829421,22.0657276995,20.6572769953,30.8441558442,92.8156748911,77.1407837446,11.465892598,1.88679245283,2.61248185776,0.72568940494,0.36284470247,0,1.59651669086,0,0.07256894049,7.18432510885,23.6574746009,21.1901306241,23.1494920174,11,12.4818577649,11.8287373004,26.7053701016,26.6328011611,10.5224963716,9.21625544267,1.0885341074,1.52394775036,61.2005856515,36.3103953148,0,2.19619326501,0,54.6979865772,0,45.3020134228
4624404003,1.4348785872,0.77262693157,97.7924944812,19.8675496689,7.94701986755,5.40838852097,3.09050772627,5.29801324503,32.119205298,24.0618101545,26.3414634146,95.8258795468,72.7489564699,20.1550387597,2.02742993441,0.77519379845,0.65593321407,0.11926058438,0.05963029219,0.47704233751,0.05963029219,0.41741204532,17.4716756112,27.3106738223,19.3798449612,15.503875969,15,8.34824090638,8.46750149076,14.7883124627,11.9856887299,20.8109719738,20.9898628503,6.44007155635,8.16935002982,45.4545454545,45.4545454545,5.81818181818,1.45454545455,1.81818181818,67.6691729323,18.7969924812,14.2857142857
4624404001,0.74812967581,0.74812967581,98.5037406484,15.3366583541,10.0997506234,5.98503740648,3.36658354115,5.23690773067,40.897755611,17.5810473815,24.765478424,94.4367176634,74.4784422809,17.454798331,1.66898470097,1.25173852573,0.62586926287,0.27816411683,0.06954102921,1.66898470097,0,0,12.8650904033,21.6968011127,22.0445062587,22.1140472879,36,11.40472879,8.48400556328,13.1432545202,13.9777468707,18.0111265647,18.9847009736,6.88456189152,9.10987482615,48.6381322957,49.8054474708,0,1.1673151751,0.77821011673,75.2212389381,15.0442477876,8.84955752212
4624404005,1.88888888889,0.88888888889,97.2222222222,13.7777777778,10.8888888889,3.66666666667,3.33333333333,6.66666666667,43.8888888889,15,24.8747913189,94.3262411348,78.4278959811,13.475177305,2.60047281324,1.59574468085,0.53191489362,0.11820330969,0.05910165485,0.70921985816,0.05910165485,0.17730496454,6.44208037825,20.5082742317,26.3002364066,25.5319148936,8,9.92907801418,8.86524822695,15.36643026,14.5390070922,18.6170212766,19.4444444444,7.09219858156,6.14657210402,35.4231974922,56.1128526646,2.19435736677,0.94043887147,5.32915360502,77.7027027027,14.8648648649,7.43243243243
